from_stop_id,to_stop_id,transfer_type,min_transfer_time
644,2367,2,240
644,2369,2,240
644,11058,2,240
644,11544,2,240
644,2364,2,240
644,30225,2,240
647,648,2,120
655,10007,2,120
655,10006,2,120
655,656,2,120
656,10007,2,120
656,10006,2,120
657,658,2,120
659,660,2,120
663,664,2,120
669,670,2,120
675,676,2,120
687,688,2,120
693,694,2,120
695,11838,2,120
695,11839,2,120
695,696,2,120
696,11839,2,120
696,11838,2,120
698,10591,2,120
699,700,2,120
701,702,2,120
707,708,2,120
709,710,2,120
714,10289,2,120
716,717,2,120
720,725,2,120
720,721,2,120
720,726,2,120
721,725,2,120
721,726,2,120
725,726,2,120
751,752,2,120
759,760,2,120
763,764,2,120
770,771,2,120
772,773,2,120
772,30391,2,120
773,30391,2,120
778,779,2,120
788,789,2,120
801,10502,2,120
801,10501,2,120
805,806,2,120
805,808,2,120
805,807,2,120
806,807,2,120
806,808,2,120
807,808,2,120
813,814,2,120
815,816,2,120
817,818,2,120
823,824,2,120
828,829,2,120
832,833,2,120
834,11006,2,120
834,836,2,120
834,30256,2,120
834,835,2,120
835,836,2,120
835,11006,2,120
835,30256,2,120
836,11006,2,120
836,30256,2,120
839,840,2,120
842,843,2,120
844,845,2,120
846,847,2,120
848,849,2,300
848,10248,2,120
848,10247,2,120
848,10304,2,300
848,11222,2,120
849,10304,2,120
849,11222,2,120
849,10247,2,120
849,10248,2,120
853,856,2,120
853,854,2,120
854,856,2,120
873,874,2,120
885,886,2,120
887,12279,2,120
897,898,2,120
899,900,2,120
899,902,2,120
899,901,2,120
900,901,2,120
900,902,2,120
901,902,2,120
903,904,2,120
907,908,2,120
910,911,2,120
912,913,2,120
919,920,2,120
925,926,2,120
930,46053,2,180
930,42742,2,180
930,931,2,120
931,46053,2,180
931,42742,2,180
932,933,2,120
942,943,2,120
944,32168,2,180
944,32169,2,180
954,955,2,120
962,963,2,120
976,977,2,120
980,981,2,120
984,985,2,120
989,990,2,120
999,1000,2,120
1001,1002,2,120
1007,1008,2,120
1010,30209,2,240
1010,30210,2,240
1010,12120,2,120
1010,12275,2,120
1010,12273,2,120
1010,12266,2,120
1010,12265,2,120
1010,30070,2,120
1010,12272,2,120
1010,30137,2,120
1010,30136,2,120
1010,30093,2,120
1010,1012,2,120
1010,12045,2,120
1012,12120,2,120
1012,12275,2,120
1012,12273,2,120
1012,12266,2,120
1012,12265,2,120
1012,30070,2,120
1012,12272,2,120
1012,30137,2,120
1012,30136,2,120
1012,30093,2,120
1012,12045,2,120
1012,30209,2,240
1012,30210,2,240
1015,30446,2,180
1015,30445,2,180
1015,11444,2,120
1018,1019,2,120
1021,1022,2,120
1024,1025,2,120
1026,1027,2,120
1038,1039,2,120
1040,1041,2,120
1042,1043,2,120
1044,1045,2,120
1059,3434,2,120
1059,1061,2,120
1059,10292,2,120
1059,10332,2,120
1059,10567,2,120
1059,30575,2,120
1059,30574,2,120
1059,30507,2,120
1059,10252,2,120
1059,10566,2,120
1059,30579,2,120
